ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,tcp.options.mss_val,label
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,161,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,161,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,164,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,164,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,164,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,164,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.2.15,192.168.2.23,5555,33360,1024,0x0002,,1
192.168.2.23,192.168.2.15,33360,5555,42340,0x0012,,1
192.168.2.15,192.168.2.23,5555,33360,0,0x0004,,1
